Timestamp,Longitude,Latitude,StationCode,GX.CAMPI..HHZ,GX.CAMPI..HHN,GX.CAMPI..HHE
2024-10-13T14:43:30.810224,15.273819832,40.70713985,CAMPI,64554,59997,69423
2024-10-13T14:43:30.820224,15.273819832,40.70713985,CAMPI,64787,60052,69528
2024-10-13T14:43:30.830224,15.273819832,40.70713985,CAMPI,64736,60102,69585
2024-10-13T14:43:30.840224,15.273819832,40.70713985,CAMPI,64647,60152,69422
2024-10-13T14:43:30.850224,15.273819832,40.70713985,CAMPI,64832,60167,69315
2024-10-13T14:43:30.860224,15.273819832,40.70713985,CAMPI,64570,60258,69326
2024-10-13T14:43:30.870224,15.273819832,40.70713985,CAMPI,64624,60247,69283
2024-10-13T14:43:30.880224,15.273819832,40.70713985,CAMPI,64880,60144,69252
2024-10-13T14:43:30.890224,15.273819832,40.70713985,CAMPI,64640,60150,69248
2024-10-13T14:43:30.900224,15.273819832,40.70713985,CAMPI,64694,60059,69336
2024-10-13T14:43:30.910224,15.273819832,40.70713985,CAMPI,64818,59991,69398
2024-10-13T14:43:30.920224,15.273819832,40.70713985,CAMPI,64843,59976,69410
2024-10-13T14:43:30.930224,15.273819832,40.70713985,CAMPI,64637,59885,69533
2024-10-13T14:43:30.940224,15.273819832,40.70713985,CAMPI,64615,59990,69534
2024-10-13T14:43:30.950224,15.273819832,40.70713985,CAMPI,64964,60011,69505
2024-10-13T14:43:30.960224,15.273819832,40.70713985,CAMPI,64687,59906,69487
2024-10-13T14:43:30.970224,15.273819832,40.70713985,CAMPI,64611,59984,69412
2024-10-13T14:43:30.980224,15.273819832,40.70713985,CAMPI,64950,60018,69485
2024-10-13T14:43:30.990224,15.273819832,40.70713985,CAMPI,64815,59990,69492
2024-10-13T14:43:31.000224,15.273819832,40.70713985,CAMPI,64782,59947,69405
2024-10-13T14:43:31.010224,15.273819832,40.70713985,CAMPI,64763,59880,69561
2024-10-13T14:43:31.020224,15.273819832,40.70713985,CAMPI,64602,59861,69650
2024-10-13T14:43:31.030224,15.273819832,40.70713985,CAMPI,64809,59866,69575
2024-10-13T14:43:31.040224,15.273819832,40.70713985,CAMPI,64804,59840,69681
2024-10-13T14:43:31.050224,15.273819832,40.70713985,CAMPI,64612,59784,69689
2024-10-13T14:43:31.060224,15.273819832,40.70713985,CAMPI,64561,59839,69578
2024-10-13T14:43:31.070224,15.273819832,40.70713985,CAMPI,64625,59903,69565
2024-10-13T14:43:31.080224,15.273819832,40.70713985,CAMPI,64721,59889,69534
2024-10-13T14:43:31.090224,15.273819832,40.70713985,CAMPI,64466,59894,69579
2024-10-13T14:43:31.100224,15.273819832,40.70713985,CAMPI,64578,59929,69751
2024-10-13T14:43:31.110224,15.273819832,40.70713985,CAMPI,64723,59961,69865
2024-10-13T14:43:31.120224,15.273819832,40.70713985,CAMPI,64467,59871,69971
2024-10-13T14:43:31.130224,15.273819832,40.70713985,CAMPI,64614,59860,70199
2024-10-13T14:43:31.140224,15.273819832,40.70713985,CAMPI,64617,59890,70227
2024-10-13T14:43:31.150224,15.273819832,40.70713985,CAMPI,64455,59794,70027
2024-10-13T14:43:31.160224,15.273819832,40.70713985,CAMPI,64660,59876,69898
2024-10-13T14:43:31.170224,15.273819832,40.70713985,CAMPI,64798,59952,69851
2024-10-13T14:43:31.180224,15.273819832,40.70713985,CAMPI,64795,59831,69739
2024-10-13T14:43:31.190224,15.273819832,40.70713985,CAMPI,64804,59790,69608
2024-10-13T14:43:31.200224,15.273819832,40.70713985,CAMPI,64784,59753,69663
2024-10-13T14:43:31.210224,15.273819832,40.70713985,CAMPI,64784,59757,69673
2024-10-13T14:43:31.220224,15.273819832,40.70713985,CAMPI,64794,59923,69633
2024-10-13T14:43:31.230224,15.273819832,40.70713985,CAMPI,64835,59804,69713
2024-10-13T14:43:31.240224,15.273819832,40.70713985,CAMPI,64914,59679,69740
2024-10-13T14:43:31.250224,15.273819832,40.70713985,CAMPI,64913,59861,69682
2024-10-13T14:43:31.260224,15.273819832,40.70713985,CAMPI,64878,59814,69502
2024-10-13T14:43:31.270224,15.273819832,40.70713985,CAMPI,64945,59786,69400
2024-10-13T14:43:31.280224,15.273819832,40.70713985,CAMPI,64936,59843,69491
2024-10-13T14:43:31.290224,15.273819832,40.70713985,CAMPI,64900,59763,69491
2024-10-13T14:43:31.300224,15.273819832,40.70713985,CAMPI,64971,59868,69489
2024-10-13T14:43:31.310224,15.273819832,40.70713985,CAMPI,64853,59993,69606
2024-10-13T14:43:31.320224,15.273819832,40.70713985,CAMPI,64820,59941,69698
2024-10-13T14:43:31.330224,15.273819832,40.70713985,CAMPI,64952,59888,69752
2024-10-13T14:43:31.340224,15.273819832,40.70713985,CAMPI,64872,59798,69709
2024-10-13T14:43:31.350224,15.273819832,40.70713985,CAMPI,64668,59681,69630
2024-10-13T14:43:31.360224,15.273819832,40.70713985,CAMPI,64583,59738,69730
2024-10-13T14:43:31.370224,15.273819832,40.70713985,CAMPI,64673,59747,69777
2024-10-13T14:43:31.380224,15.273819832,40.70713985,CAMPI,64541,59576,69710
2024-10-13T14:43:31.390224,15.273819832,40.70713985,CAMPI,64576,59561,69852
